A830082N09Rik
Arpc3
Vwa1
Setd5
Atp1a1
Tbcb
Atox1
Itm2a
Ccdc32
Pmp22
Shoc2
Ssr2
Tmem205
Sh3bgrl3
Selenom
Tmem208
Cic
Ndrg1
mt-Nd6
Zfp628
Arl4d
Tctex1d2
Ndufaf3
Nfu1
Hpcal4
Tmem176b
Ramp2
Cox7c
Lmo1
Gbp2
Ndufa8
Mecp2
Mcur1
Rraga
Dact2
Dock5
Asb11
Adra2c
Fzd4
Siglech
Ccdc106
Neurl1b
Rpl17
Fam213b
Dctn3
Abca1
Mrpl12
Bola2
Gulp1
Lcp2
Rragd
Srp14
Eif2ak2
Zfp637
Chd3
Timm8b
Eif3k
Suco
Atl3
Gabarap
Ppp1r8
Mid1ip1
Nfkbiz
Zfp939
Cnn2
Bod1
Ywhae
Dbpht2
Zfp428
Creb3l2
Pfn1
Nrarp
Ccdc59
Emc10
Selenop
Mrfap1
Prrx1
Psmb6
Tmed9
Ddr2
Gnb4
Slc39a1
Myl9
Tpd52l1
Bsg
Mageh1
Phf10
Clint1
Smdt1
Ubtf
Klf9
Vps72
Akap5
Eef1a1
Pgrmc1
Foxc1
Stt3a
Relb
Aurkaip1
Mrpl55
Gins4
Itm2b
Tfpi
Tm2d1
Fam131b
Hsbp1
Atxn7l3b
Wipi1
Rps2
Ywhaz
Thra
Yif1b
Arpp19
Eif3g
Fam133b
Ssr4
Ubxn1
Khsrp
Srsf9
Lrrtm2
Sox11
Maml1
Zfp719
Prdx5
Fmc1
Slc8a2
Npm1
1700037H04Rik
Arpp21
Ptp4a1
Hras
Mrpl57
Gprin3
Iah1
Klf13
P4hb
Zfp830
Pafah1b1
Rny3
Usf2
Rps14
Cdkn2d
Timp3
Zfp91
Tmem98
Cbr1
Siva1
Drap1
Coch
Sdc2
Coq4
Ech1
Eif3i
Eif1
Cdo1
Fis1
Kcnmb4
4931406P16Rik
Ndufb6
Aph1b
Mrpl16
Selplg
Prkcsh
Cfl1
Akirin2
Sf3b6
Fam131a
Gda
C130036L24Rik
Ndufb9
Wfs1
Dnajc3
Sp100
Rpl14
Ndufb10
Fbxo6
Ubxn8
Ddx23
Utp3
Pcdh1
1110038F14Rik
Cwc15
Aimp1
Zic4
Nfyb
Sec62
Bgn
Rpl22
Cobll1
Med30
Fgfrl1
D030068K23Rik
Pcp4l1
Rps26
Syt5
Nkap
Chaf1a
Adgrf5
Wbp4
Arl4a
1810032O08Rik
Emp2
Doc2b
Atp6v1f
Eif1b
Rgs10
Ndufb11
Tmem168
Dap
Upf3a
Zfp422
Calm1
Mycbp
Plp1
Ccn3
Tmem70
Tlr7
Mrps21
Yy1
Rpl23
Spcs2
Has3
Rbm27
Dbp
Slc6a20a
Bcl7b
Ccdc86
Gadd45gip1
Pgp
Gnai2
Mul1
AU020206
Psmd4
Gfra4
Ccdc85b
Fermt2
Cckbr
Rec8
Eln
Mfng
Arl5a
Atp6v1e1
CT486005.1
Hgs
Eef1b2
Runx1
Dcp2
Eif3m
Mrpl20
Triobp
Arpc4
Dnajc9
Set
Sdhc
Tmem126a
Chrm4
Psmb4
Ccm2l
Zfp748
Arhgdib
Sdhaf4
Il15
Carhsp1
Psmb3
Snx3
Map1lc3a
Ccdc107
Usf3
Taf9b
Nfkbia
Grem1
Emc3
Znhit1
Tceal6
Trir
Ssna1
Rack1
Tab2
Ptpru
Sp3os
Tes
Ccdc80
Spry2
Elp5
Pvr
Pqbp1
2900052L18Rik
Cldnd1
Gpx1
Icam2
Rasd2
Glce
Rbx1
Col1a1
Slc38a3
Polr2j
Lamc3
Clic6
Eapp
Mex3c
2310033P09Rik
Rabggtb
Cd81
Cavin2
Olfm1
Mmp14
Tmem198
Myof
Otud1
Zfp329
Ndufs8
Spcs1
Jade2
Tpm3
Atp2b1
Zrsr2
Yrdc
Rps6ka3
Tspan12
Ddit4
Tti2
Nmi
Pura
Gpr3
Dnajc19
Rps3
Klf10
Tspan4
Plcxd1
Eif2b2
AA386476
Lima1
Mmgt1
Reep5
Ubl7
Pglyrp1
mt-Cytb
Txndc17
Tmem123
Jdp2
Tinagl1
Arl5b
Wtip
Cox7a2l
Pomp
Rxrb
Ost4
Coa6
Ralbp1
Ccdc181
Fn3krp
Dusp16
Zbtb46
4930453N24Rik
Limd1
Spred1
Mavs
Mas1
Rem2
BC031181
Gsta4
Mir124-2hg
Nts
Clta
Tyw5
Chmp5
Smg8
Magohb
Pum2
Golm1
Zbtb8a
Mtdh
Mex3d
Sdf4
Hnrnpl
Tmem140
Ccdc124
Sh3rf1
Mbd3
Rhog
Igbp1
Il10ra
Cd302
Tmpo
Hist1h4h
Coa3
Sass6
Gpr137b
H6pd
Pim3
R3hdm4
Mrpl51
Arf6
Them6
Pebp1
Rtn4
Abhd17a
Mtmr9
Asna1
Ttll7
2510039O18Rik
Mrps16
BC005537
Rpl18a
Ankdd1b
Smim15
Trp53inp1
Elk4
Icmt
Gltp
Gtf2a2
Ube2m
Cbx1
Acvrl1
Mrpl27
Rps19
Bhlhe40
Ccdc112
Ssu72
Nop53
Zfp954
1700020I14Rik
Bysl
Taf10
Daxx
Tmbim4
Cd3eap
Col5a1
Esam
Fuz
Sppl2a
Il4ra
Appl1
Eif2s3x
Rpl31
Igfbp7
Mamstr
Atp5d
Nr2f2
Atp5g2
Rin3
Sike1
Stk19
Scn3b
Atraid
C1qbp
Cdc42se1
Eid1
Zfp59
Ndufaf4
Man2b2
Zfp128
Sec61b
Rflnb
Selenok
Tgfb1
Pycrl
Ninj1
Gtf3c6
Pdrg1
Cmss1
Arl6ip1
Cfap36
2900026A02Rik
Mfap1b
Kbtbd11
Ftl1
D330041H03Rik
Tmem185b
Skp1a
Kdelc2
Ube2g2
Sox4
St3gal1
Rph3al
Ece1
Nop10
Slitrk2
Rpf1
Def6
Txndc15
Magoh
Rnf187
Col4a3bp
Mus81
Degs2
BC029722
Fes
Harbi1
Zic1
Mphosph6
Tlnrd1
Cited2
Trib1
Zfp667
Ppia
Ptrh2
Smim3
Pdzrn3
Gbe1
Crebbp
Arrdc4
Cmtm8
Tmem251
Atp6v0b
Gng12
Xaf1
Pa2g4
Atp5j
Ddx60
A4galt
Ldhb
Aplp1
Cdk4
Rasd1
Patl1
Med10
Bri3
Rpusd2
Plekhg2
Ppp4r2
Stab1
Tnfrsf25
Perp
Ddost
Ybx1
Chchd10
Tmem267
Polr2e
Ptp4a2
Tceal9
Abt1
Rpl27a
Nudt16l1
Srp9
4930481A15Rik
Ier5
Creg2
Uqcrb
Higd2a
C330018D20Rik
Pdlim1
Gas2l3
Rpl22l1
Dpf1
Commd6
Rpl7a
Wwtr1
Epn2
Rpl7
Ptpn14
Dlx5
Trpc6
Fam136a
Serpina9
Thap11
Cyp4f17
Ctdsp1
Ddx17
Dock8
Txnip
Sri
Isl1
AU022252
Ran
Cox7b
Atp5g3
B230206L02Rik
Mansc1
Col12a1
Sssca1
Mgst3
Prdx2
Dnajc14
Otub1
Lims2
Nudt14
Psmc2
Msl2
Tcn2
Sytl5
Cnih4
Psmg4
Tnfrsf1a
Mrpl43
Fcgrt
Psma4
Rgs5
9230114K14Rik
Samd15
Crem
Lmo3
St3gal6
Sult1a1
Necab2
Icam5
Amotl1
Kdm5a
Fbxo33
Anpep
Wnt5a
Ociad2
Lzts3
Zfp24
Adi1
Slc9a2
Ndufv1
Kras
Psme1
Cep68
Adipor2
Cdc42ep3
Thap2
Tpt1
Tpr
Tbc1d8
Nucks1
Otulin
Mllt6
Psmc5
Txnl1
Wipf3
Synrg
Anapc16
Srm
Naca
Oscar
Arhgef9
Rnf168
1110059G10Rik
Maf1
Tm2d3
Timm17a
Ppm1a
Cdk15
Phlda1
Cx3cr1
Rp2
Hnrnpc
Pear1
Mbip
Jkamp
Camk1
Ormdl3
Nptxr
Dusp6
Fbrs
Eef2kmt
Svil
Chst2
Lactb
Eif2s2
Shisa5
Pik3r1
Tspan13
Ankrd63
Fnbp1l
Fmo5
Pfdn2
Mmd
4930503L19Rik
Necab1
Hnrnpd
C1d
Siae
Itga1
Actn2
Cyth4
Nudt11
Ccdc9
Brinp1
Ndufv2
Rtraf
Grpel1
Dusp7
Tm2d2
Togaram1
Cebpz
Pard6a
Ppp2r1a
Bag6
Wdr83os
Paip1
Sh3bgrl
Utp11
Lpl
Dmwd
Pmf1
Arl2
Tceal8
Pappa2
Psmd8
5430402O13Rik
Ppp1r2
Chtop
Polr2g
Hexa
Arid5a
Mlx
Krcc1
Mapk1
Irf1
Impad1
Bnip2
Mtch1
Nemp2
Psmc3
Nck1
Twf1
Dedd
Eif5a
Amacr
Cbarp
Hspa5
Nop58
Terf1
Csnk2b
Sh3glb1
Sox13
Umps
Grb14
Asl
Sft2d2
Tmem60
Ino80e
Cmtm3
Ubqln2
Wnk1
Foxp1
Gna11
Hnrnpul2
Dock1
Cwf19l1
D030028A08Rik
Rer1
Kitl
Tmem64
Use1
Cbr4
Hrh3
AI504432
Chmp2b
D16Ertd472e
Rgs7bp
Asf1a
Setd1b
Ostf1
Adcy4
Fam81a
Nol3
Ttyh2
Tmem183a
Hcfc1r1
H1f0
Mvp
Lin37
Foxg1
2610001J05Rik
Mrps17
Rnf7
Dgat2
Slirp
Chn1
Eif3e
Ifrd1
Cyb5r1
Fosl2
Arap2
Tec
Hnrnpab
Eif3f
Mrpl32
Agtrap
Phldb2
Luzp1
Megf6
Zfp867
Shld1
Herc6
Fkbp8
Pdcd6
Ctdnep1
Siah2
Sfr1
Nptx1
Csrp2
Eci2
Pten
1500011B03Rik
Fbxw2
Urod
Eif4a3
Kxd1
Ciart
Polr2m
Klhl23
Nqo2
Sde2
Plcb3
Exosc4
Clcc1
Eef1a2
Dleu2
Npr1
Sf3b4
Tmco6
Zfp260
Ngrn
Anapc11
Fas
Pole4
Cabyr
Zfp706
Mat2b
Tmod1
Dhps
Zfp800
Tmem159
Ets2
Ap2s1
Sdhd
Acbd4
Il6ra
Eif2b5
Dnajb1
B3galt6
Lrrc10b
Psmd6
Anp32b
Entpd1
Slc46a3
Steap3
Cnot11
Zfp418
Ocel1
Rpp14
Gpr88
Nsrp1
Arl6ip4
Gmeb2
Dek
Lbh
Prpf31
Taok1
Ogfrl1
Pdcl3
Npat
Ptp4a3
Pml
Ctdsp2
Tor3a
Lyn
Rnf2
Lrrc73
Cap1
Dusp3
Phf7
Rps18
Orai1
Anxa4
Mrpl39
Cyb561
Med29
Gimap6
Cyb5r3
Gramd2
9330154J02Rik
Mxra7
Aamp
Pabpc1
Tbrg1
Alkal2
Hsp90aa1
Rps4x
Pdpk1
B9d1
Rnf144b
Spag7
Abcb1a
Nubp2
Zfp622
5430416N02Rik
Ifi27
Nosip
AI837181
Fem1a
Wtap
Emc4
Wdr82
Dag1
Ric8a
Alg10b
Taf13
Atg3
Derl1
Rplp0
Dynlrb1
Sertad4
Phb2
Bmt2
AC110206.1
Crtac1
Nedd9
Prelp
Efnb1
9330185C12Rik
Cby1
Srsf6
Btbd7
Rpl4
Psma6
Emc7
Nfic
Trappc4
Ralb
Usp1
Fkbp1b
Klf2
Stard4
C630043F03Rik
Nagk
Usp46
Tigd2
Smndc1
Slc35a4
Lama4
Inafm1
Pak1ip1
B3galt2
Avl9
Pithd1
Szrd1
Vrk2
Smarcd1
Eif4enif1
Pcbp1
Ptges3
Kif1c
Sar1b
Nde1
Kdelr2
Vdac1
Adam15
Gabarapl1
Mrps25
Sp9
Ckap4
Pnrc1
Unc119b
C530050E15Rik
Fbxw17
Vgf
Dnajc30
Gspt1
Leng1
Prrt4
Mrps30
Mlf2
Prmt9
Tnfaip1
Mdc1
Ppp1r10
Trim65
Rab26
Ncl
Dubr
Rbm15
2310026I22Rik
Gng3
H2-D1
Arsk
Trim8
Ssr3
Epc2
Psmd7
Prelid3b
Gabbr1
Fuom
Sel1l
2300009A05Rik
Sept9
Trim41
Ppwd1
Pnrc2
Mindy1
Tbpl1
Cdk5rap3
Wdr26
Nkapd1
Zfp959
Prrg1
Pacsin3
Ndufaf7
Gar1
Zbtb1
Cnih2
Ndn
Aldoa
Nepro
Gpm6a
Lrrc8a
Efnb2
Saraf
Afdn
Pradc1
Wdr76
Mcoln1
Dhrs3
Hs3st2
Cbl
Actr3
Crebrf
Hist1h1e
Mob1a
Foxo4
Pnmal1
Arl14ep
Apex1
Zzz3
Nabp2
Prmt6
Gpr101
Heca
1700037C18Rik
H2afx
Ska2
Snx12
2310009A05Rik
Nbr1
Tle3
Hsp90ab1
Zfp629
Grn
Egln1
Morf4l1
Scnm1
Jagn1
Trpm4
Sgpp1
Maip1
Eif4b
Twistnb
Cfap20
Snn
Kif26a
Rdh11
Cd82
Cd4
Arhgap6
Arf1
Rgs2
1810013L24Rik
Scube1
Cops5
Guk1
Vash1
Yipf3
Cabp1
Tagln2
Inpp1
Zfp286
Tmem136
Ppp1r3e
Atp11b
Numbl
Krr1
Elovl2
Rad1
Rdh14
A630072M18Rik
Nr3c1
Itsn2
Ddit3
Fth1
Tsen34
Zdbf2
Rsl24d1
Ccar1
Slco1c1
Pef1
Polr3h
Traf6
Ankle2
Pea15a
Rab5if
Nkd2
Crybg3
Adprhl2
Ccnd3
Psmd13
Irak1bp1
Yars2
Cpne8
Mrpl17
Gps1
Topbp1
Cops6
Bag5
Mxd4
Mrpl44
Rnf11
Spag9
Arf3
Dancr
Clip1
Pop5
Hmbox1
Mapre1
Zfp770
1810022K09Rik
Nfib
Fam122b
Trim16
Zfp784
A830073O21Rik
Nat8f1
Tln1
Gas5
Homer1
Inafm2
Cct4
Pak2
Samd4b
Fam174a
Prom1
Ankra2
AC102342.2
Lgalsl
Erich1
Alkbh5
Tcp11l2
Atg12
Cbx5
Sertad2
Pxdc1
Ccser2
Cr1l
Usp2
