"","SYMBOL","SST_IP_AMPH2","SST_IP_AMPH2.1","SST_IP_AMPH3","SST_IP_AMPH2.2","SST_IP_SAL1","SST_IP_SAL2","SST_IP_SAL4","SST_IP_SAL4.1","SST_UF_AMPH2","SST_UF_AMPH2.1","SST_UF_AMPH3","SST_UF_AMPH2.2","SST_UF_SAL1","SST_UF_SAL2","SST_UF_SAL4","SST_UF_SAL4.1"
"46662","Pik3r4",10.5914367807139,10.592813650016,10.5955631099047,10.7176278973418,10.6442060654194,10.7024468338729,10.5576769974519,10.5742122454795,10.6609531360668,10.622370843784,10.6036362836993,10.5115553170847,10.6683622387953,10.5588108088156,10.6120450917615,10.6623471453446
"46663","Pik3r5",7.94459191587949,7.9211231336522,7.67617658652543,7.77003120881357,7.74957669150042,7.77595367099942,8.03037039305256,7.96225967545462,8.45152558481002,8.36493934595306,8.51596633948841,8.43844331092613,8.74574349107884,8.42091997197021,8.77152144941279,8.83811068533002
"46664","Pik3r6",8.60252466310221,7.98499999806071,8.51400231345673,8.39145571138705,7.74155805474234,7.61116425466112,8.38812000302197,8.2269240617084,7.96205737196875,7.88259610948097,7.7718886867536,7.68934545880177,7.61165581961041,7.79811457523409,7.86090436478571,7.95067326510546
"46665","Pikfyve",11.9908055906868,11.7090352925011,11.9673969401248,11.8836218198022,12.0923008612975,11.9977907303862,11.7033078648502,11.8027814798627,11.9285778445819,11.9444834907444,12.0461409988995,11.898436483471,12.0745220043322,12.1016075231498,11.7585006680728,11.8904327123183
"46669","Pim1",7.59346445758176,7.52396398515834,7.69170196823303,7.65544918118272,7.48906823094426,7.53962265173885,7.69123421159548,7.59922173727643,7.6534668606081,7.39770906282222,7.54574646324848,7.44545653050857,7.36893979734655,7.56001087488107,7.59898354111966,7.63478304325016
"46670","Pim2",8.90159427260495,9.28373372448113,8.76743199296032,8.91593209161693,8.77781604485834,8.92798373144224,9.03699640766891,9.13504478006891,8.99063615304465,8.91336917186651,8.83219740340824,8.93519714941309,8.74574349107884,8.719606231357,9.03191620700722,8.79128204706748
"46671","Pim3",8.56798328226452,8.84042837618399,8.79301167841473,8.84802968624479,8.2507486807574,8.44575623823204,8.42229318215486,8.77250616191895,8.42148366608383,8.43530785270779,8.26366304686096,8.38235591442139,8.2373442952818,8.32941830737195,8.53846530280404,8.33009917969418
"46673","Pin1",9.55465818995824,10.1103422301816,9.68387310891956,9.82053913199929,9.86333361173918,9.82946916587916,9.97290201213057,9.84538412361882,9.78431870567479,9.9349878857599,9.85849113998237,9.81884721655518,9.90563723358092,9.78792543863967,9.89265103653519,9.89764541343248
"46675","Pin4",8.00948478064117,7.95357067608534,7.99614312228064,7.81829049550117,8.09966095732418,8.0859062464182,7.80982565611964,8.05316168020225,7.92173734608658,8.07480390368388,8.01820101175345,8.01797769000321,7.8797357667815,8.09057439258071,8.04096481707082,7.96840534842148
"46677","Pink1",10.3058005886126,10.5640420019818,10.2355787268571,10.7051995188572,10.1480598505092,10.45549364456,10.3335752053453,10.4361195998631,10.3021761167658,10.28788669459,10.010624797341,10.188013129284,10.0804959965337,10.2208331463261,10.3961420151518,10.3300700942896
"46679","Pinx1",10.8608315811083,10.6364492846524,10.8652297782211,10.3784533915499,11.0475209077605,10.9922095957454,10.7925428518714,10.7624472626046,10.8930513737552,10.9581625693977,11.1683727228844,10.859440123328,11.0855987359695,11.0089756535678,10.7525588618074,10.8700023269123
"46681","Pip4k2a",11.8618103469684,11.4164806819462,11.8410299759811,11.4258269521908,11.940880460288,11.7204100796191,11.7996708385693,11.68974083463,12.5626808328138,12.5496997799073,12.7006653521989,12.3980443315946,12.517561860045,12.5813341540582,12.4346741088072,12.534839721323
"46682","Pip4k2b",10.4318339825889,10.8787356953413,10.4337719468257,10.6439930051269,10.5395965173922,10.7128911437377,10.8051789103119,10.6863421845965,10.6684673437847,10.7538378485625,10.6009436602703,10.567323304174,10.6436802323855,10.5424254505359,10.8421112906898,10.8494564955705
"46683","Pip4k2c",9.5020828201572,9.62783702538749,9.53819305466588,9.66655087341593,9.3769893775234,9.50356344517646,9.5875377746626,9.70834455324871,9.82713247266165,9.55707287143855,9.58487314430281,9.63582350456652,9.52876300472464,9.61974614872734,9.80230904105751,9.92996802019244
"46684","Pip4p1",9.33505829067025,9.42121218350624,9.27538596067993,9.49342397823415,9.32981939068567,9.50133594888211,9.42148445528048,9.36312489257318,9.35492409396075,9.10724352855132,9.21745999663484,9.33198720046526,9.3665324984216,9.38276512568233,9.48210653698911,9.5575861584004
"46685","Pip4p2",11.3134982338991,11.2827004664001,11.2641843179931,11.1898811945092,11.2869811263965,11.3200185355582,11.1632780380748,11.1404467353371,11.168168175153,11.2828059322878,11.3175807956805,11.2268033110773,11.2871178069552,11.2387294067297,11.1989363354437,11.1860732412145
"46686","Pip5k1a",11.3637998768,11.475273830254,11.3444293866913,11.1495524415108,11.4436836404652,11.2560279750982,11.3889835136415,11.2837206413671,11.7728599501697,11.7025212319215,11.893770840808,11.6357858192124,11.6977757102074,11.7069846277473,11.6329259858881,11.764195714639
"46687","Pip5k1b",11.9269631555694,12.0263028076093,12.0100311903208,11.975205485273,11.9190954634778,12.2077229548549,11.6897768497626,11.8023265218284,11.503680820341,11.8366277287119,11.8955960440708,11.7672625089696,11.7499751709706,11.9782445699495,11.4112431851619,11.560041700948
"46689","Pip5k1c",10.823275808574,11.2840040737544,10.9272211213357,10.9339134888622,10.8989698644732,10.8576341480374,11.3788951085485,11.3642830998022,11.0294440513041,10.9473014495777,10.9301441731763,10.8581082668926,10.8533314857166,10.7885042261132,11.3909602947299,11.3797397798231
"46690","Pip5kl1",9.23590819419694,9.01171617624911,9.21944403240202,8.98049154546067,9.06068993365329,8.93138558579194,9.22229778526065,9.34273123384059,8.26854982213642,8.38411641821909,8.38964989607122,8.54692630201169,8.35491251411387,8.64077996600847,8.70320428084623,8.26525399317438
"46691","Pipox",7.45484162616432,7.3623955857543,7.42945352194412,7.49944124971762,7.48906823094426,7.52701318552679,7.59826659763712,7.58725770800896,8.09182055591413,7.87499581793765,7.85866463972173,7.9035661801286,7.99593351652982,7.99995688655972,8.08933602009921,8.1307607803327
"46692","Pir",9.47766821214069,9.0051437380009,9.62893288275668,9.42917892799793,9.02455795908631,8.81416954358159,9.38068145328884,9.3931576718812,8.77414838215377,8.74384427584086,9.00952803356849,8.73280367484186,8.67966074876587,8.85422205376254,8.77152144941279,8.86295804355837
"46696","Pisd",7.88169467213719,8.24443957764868,7.87831440088721,7.97678855106116,7.99398291617802,7.97778701241736,7.97425600992334,7.94628841653157,7.84320243098694,8.1237625340007,7.82804055111485,7.9035661801286,7.9012606220668,7.82275877034334,8.03268210654941,8.06078610945739
"46697","Pisd-ps1",8.97500211670312,8.93408708061118,8.92405712313201,8.70759038886224,8.87807411853584,8.66869756703557,8.86626875519745,8.9282886968544,9.14241555840078,8.60904771190812,8.98969561011024,8.72661593678101,8.82780102175162,8.70864126872299,8.85730611534143,8.95022274241825
"46698","Pisd-ps2",8.64604315516146,8.53849061282962,8.70869082634921,8.56558614662483,8.57255296532555,8.44575623823204,8.57999479336529,8.63531482765574,8.53346038319355,8.45787122841351,8.72133878412396,8.40671770940606,8.46599572207913,8.56080398240885,8.53311566544392,8.53782657829195
"46700","Pithd1",9.48293634670086,9.96220325670242,9.59365548831961,9.53972066626359,9.64710793448451,9.73848678015536,9.70523395450166,9.7043946255037,9.41089238823256,9.44618194014439,9.32396345312282,9.50875586834802,9.45103258096233,9.42840520391306,9.55082517888092,9.45582696783188
"46701","Pitpna",12.1847116565712,12.1164012160374,12.1615311628853,12.1987187887618,12.1359515425823,12.1861532884689,12.2360738631169,12.1838595553074,12.0681503114922,11.9846140980772,11.9712772113765,12.0817612306671,11.9503591526642,12.0120947919969,11.9691180618707,12.035292015953
"46702","Pitpnb",11.4750376232437,11.3961357093538,11.4732509950536,11.3284059265149,11.4539830450178,11.4337578652251,11.443777059304,11.4187598463043,11.3858959573307,11.3101632667039,11.4357792890222,11.2828953729619,11.371739499014,11.3494607291619,11.2966986867879,11.2222458849676
"46703","Pitpnc1",13.2304582702326,12.6019852851497,13.3256188835415,13.0408575297306,13.0699450414234,12.7356697497782,13.1875553873788,13.1174534111076,13.10386576249,13.0422327962736,13.2589660215504,12.9474402198272,13.0880844410815,13.2075556424766,13.0668203793902,13.0110252019894
"46705","Pitpnm2",12.5515191522865,12.6580248999841,12.5816604621963,12.2752834889127,12.6958270293883,12.2852167994285,12.6620598975076,12.7396095349035,13.7702073654968,13.4611701935429,13.7019060548258,13.2077824173983,13.5411427395605,13.0393340923698,13.4184226782382,13.6579546454051
"46708","Pitpnm3",12.1413461248053,12.0282465770128,12.2364693675291,11.7704377760656,12.2722334597057,11.9288322663361,12.2878571295957,12.3751906414401,11.3091267324877,11.3929798883247,11.4943204800081,11.3819900853885,11.3758684045526,11.7627458382366,11.6625451570102,11.3953218383664
"46709","Pitrm1",10.6699394236327,10.6106364299864,10.6959699752206,10.5035603328673,10.6862286619202,10.5208066468752,10.7643448319892,10.6492569277033,10.5906082245054,10.6699028497909,10.6503884472115,10.6004065185003,10.6220553306001,10.5806843066842,10.6581651852984,10.7324703403706
"46714","Piwil2",7.749336971921,7.70942617544754,7.79322830561859,7.77003120881357,7.81126785071115,7.69754484244393,7.73874830480938,7.64535223939095,7.74929399833239,7.68030849461325,7.7718886867536,7.86450051460297,7.65942637476206,7.87785651657807,7.68742578484306,7.70753117338866
"46716","Pja1",10.6199147652089,10.8847708225978,10.3885186570948,11.0769350962392,10.5864680694382,11.041941719543,10.5446557973181,10.5196779498874,10.5540935886929,10.6440906605403,10.2469096639826,10.7226524971204,10.3825442765999,10.2803145632788,10.5884149150772,10.3842999506826
"46717","Pja2",13.6266629729997,13.5078132565808,13.4035713757159,13.7946832773479,13.6195175638123,13.8557742435172,13.3225949476838,13.375452952498,13.5150381811808,13.4835843086303,13.3474502575757,13.5891381957509,13.5729134990656,13.6063012487406,13.2662469238987,13.3637692805307
"46719","Pkd1",12.8668642678726,13.1151277729102,12.9591690968624,12.5697941691701,12.9773572935727,12.6135077289924,13.223652975619,13.1016516264448,13.0474252170375,13.0418934025365,13.0211912202699,12.9680512741147,13.0256549350089,12.9910223236441,13.118243406347,13.0754369896952
"46720","Pkd1l1",7.75680245954619,7.89606699727486,7.67617658652543,8.13684638131789,7.82606106891127,7.89049287843137,7.45382908576357,7.52445970862957,7.73264508596852,7.83605841804125,7.71199191791317,7.73645605782294,7.70458615010892,7.83883203221497,7.59898354111966,7.36235385684849
"46722","Pkd1l3",8.28070677526806,8.92711571228749,8.26491775879746,8.13111562328177,8.08276780061299,8.35774214733738,8.3113746951886,8.25742297396682,8.24856037518418,8.24808643272889,8.35231478470094,8.13124437993807,7.94293877997378,8.30410153655789,8.22962469292832,8.33009917969418
"46723","Pkd2",11.7716086333115,11.5481177329433,11.8557368174382,11.5979564004031,11.7299040805259,11.5898702654817,11.593746264866,11.7054004636351,11.732936853481,11.7444563210143,11.7801918437929,11.6894519739847,11.7594813327576,11.8581333997804,11.6631088264932,11.7180967813395
"46725","Pkd2l2",8.32012959272367,8.60314766720897,8.2385903620042,8.35902475463881,8.0001441496773,8.51839254747752,8.2682705256835,8.10964887371848,7.98162520932679,7.99682955262694,8.17308546208322,8.28398108300475,8.11186943880955,8.43015321772705,8.13560963786412,8.26525399317438
