genes_filt,SST_IP_AMPH1,SST_IP_AMPH2,SST_IP_AMPH3,SST_IP_AMPH4,SST_IP_SAL5,SST_IP_SAL7,SST_IP_SAL15,SST_IP_SAL16,SST_UF_AMPH11,SST_UF_AMPH12,SST_UF_AMPH13,SST_UF_AMPH14,SST_UF_SAL8,SST_UF_SAL10,SST_UF_SAL17,SST_UF_SAL18
Cyb5d2,3965.889091004368,5685.925920350538,4094.934790553721,4997.133840596219,3718.448599741921,4780.896307220725,4783.202976848974,5280.973141730881,4278.290668947863,4621.647960028886,3610.924588250695,4263.53045684316,3910.671045962661,4024.0289330302276,4020.3991121590984,3999.0159309606024
Cyb5r1,1064.1104146218852,1266.3979448041332,1311.0810167446934,1633.629105828012,1068.0888646398444,1244.253990871008,1413.071850916889,1510.785673512091,927.5642297750811,960.5653521175218,742.4557827082336,997.0988200304306,936.8701292173671,732.6605258372379,1423.4003645997943,1012.4072776993955
Cyb5r3,24958.278619107452,32734.411983604306,26771.563408903203,36597.713324460325,17591.579301342634,18934.749970429224,33866.74445035367,34338.3471831224,15814.467090130118,17169.80835486838,10043.329883497498,13952.54412695794,11383.487074623445,9197.539264132247,21131.68527714618,19524.3183057373
Cyb5r4,59260.256492352986,56289.49419071483,64318.939502664165,60811.89730851846,57835.742976159796,58172.815623436065,60106.85236846554,49965.68765224361,49923.11337697985,53804.653325054154,52433.42042780901,53900.85818290944,46702.84652399042,48268.409608070586,55070.10341054865,45496.14031725294
Cyb5rl,2705.2234031028347,4753.048822968826,3019.5532667281273,3610.9628631239034,3060.7669932256567,3133.664566534665,4139.352817340525,3449.588400190484,4336.975222282767,3450.722465900116,2422.771847445845,3014.1656371191525,3087.451290700116,2821.1286352764378,4127.912351046236,4010.400516854148
Cybc1,32976.463576583,39568.30018440488,32319.325095382734,35590.505006096486,28970.515494019586,26533.81241703338,40069.897912046355,33354.56729313887,24728.90046888605,29569.56777669742,19918.275112377134,29443.56044113057,29223.085472440627,22415.94458262286,29061.201118359335,22908.736976284297
Cybrd1,5.275229179754663,5.553134385011512,6.690726770265658,6.913409601981085,5.814064917645532,7.929374180461341,7.777421158826046,7.489580554568865,4.790199473054022,6.9245851920564885,2.6745251398037864,5.570468234249788,5.6913602481948375,5.3525639170918256,4.741884638354444,6.178962107244489
Cyc1,46699.393212678646,89326.47876744517,45504.23156395406,78889.81796196468,47141.01202794515,59278.11044833959,68213.92221682887,73008.97959786597,51806.282571004354,46100.079481053464,30633.403340746823,50854.15062276234,39394.6794591235,37249.853825009275,57628.64396529024,43218.879356389356
Cycs,85.79709590443328,65.39580095073646,78.10487333125806,123.10701250346023,74.58911612022322,98.39065081268487,86.39639348043583,78.96089802061499,57.301574287898084,66.79492253117462,48.714145634417065,77.60111384462142,68.55145057313864,52.98992655419957,50.29741472770637,61.13899153072267
Cyfip1,84296.7240750079,104061.55408149444,85437.96601315257,71611.45479482535,76803.40134465967,93730.61281802665,78821.35385386067,85169.18575545067,90992.83965892252,90554.5766786213,83181.3149204855,80587.14936079968,78756.35135389988,76738.55024966966,80607.63873341512,82029.35120909332
